id;sku;Product name;Manage stock;Stock status;Backorders;Stock;Price;Type;Parent ID
6403;steel-i7.red;red ;yes;instock;no;10;499;product-variant;6402
6404;crystal-i7;Чехол  Crystal-i7;yes;instock;no;;;variable;
9907;crystal-i7.clear;Clear ;yes;instock;no;60;399;product-variant;6404
6405;;Чехол Metal-i7;yes;instock;no;;;variable;
9940;metal-i7.black;black ;yes;instock;no;10;499;product-variant;6405
6406;metal-i7.grey;grey ;yes;instock;no;30;499;product-variant;6405
6407;;Чехол  Shield-i7;yes;instock;no;;;variable;
9958;shield-i7.black;black ;yes;instock;no;58;399;product-variant;6407
6408;;Чехол cardCase-i7;yes;instock;no;;;variable;
9972;cardcase-i7.black;black ;yes;instock;no;20;499;product-variant;6408
6409;cardcase-i7.grey;grey ;yes;instock;no;20;499;product-variant;6408
6397;;Чехол  liveBelt-2;yes;instock;no;;;variable;
8618;livebelt-2.black;black ;yes;instock;no;4;399;product-variant;6397
6400;livebelt-2.green;green ;yes;instock;no;6;399;product-variant;6397
6398;livebelt-2.blue;blue ;yes;instock;no;10;399;product-variant;6397
6399;livebelt-2.pink;pink ;yes;instock;no;9;399;product-variant;6397
6373;;Чехол Akton-i6p;yes;instock;no;;;variable;
9873;akton-i6p.black;black ;yes;instock;no;3;299;product-variant;6373
6374;akton-i6p.blue;blue ;yes;instock;no;43;299;product-variant;6373
6375;akton-i6p.grey;grey ;yes;instock;no;0;0;product-variant;6373
6376;akton-i6p.red;red ;yes;instock;no;49;299;product-variant;6373
6377;akton-i6p.pink;pink ;yes;instock;no;42;299;product-variant;6373
6378;;Чехол beSlim-i6;yes;instock;no;;;variable;
10327;beslim-i6.blue;blue ;yes;instock;no;77;269;product-variant;6378
10320;beslim-i6.brown;brown ;yes;instock;no;0;0;product-variant;6378
6379;beslim-i6.maroon;MAROON ;yes;instock;no;84;269;product-variant;6378
6380;beslim-i6.white;white ;yes;instock;no;42;269;product-variant;6378
6381;beslim-i6.black;black ;yes;instock;no;3;269;product-variant;6378
6382;beslim-i6.pink;pink ;yes;instock;no;44;269;product-variant;6378
6383;;Чехол  Lucent-i6;yes;instock;no;;;variable;
10274;lucent-i6.black;black ;yes;instock;no;96;343;product-variant;6383
10273;lucent-i6.pink;pink ;yes;instock;no;87;343;product-variant;6383
10262;lucent-i6.clear;Transparent ;yes;instock;no;138;343;product-variant;6383
6384;;Чехол  Amos-i6;yes;instock;no;;;variable;
10253;amos-i6.black;black ;yes;instock;no;6;249;product-variant;6384
6385;amos-i6.purple;purple ;yes;instock;no;6;249;product-variant;6384
6386;amos-i6.red;red ;yes;instock;no;0;0;product-variant;6384
6387;amos-i6.pink;pink ;yes;instock;no;6;249;product-variant;6384
6388;;Чехол  Amos-i6p;yes;instock;no;;;variable;
6389;amos-i6p.purple;purple ;yes;instock;no;43;343;product-variant;6388
6391;amos-i6p.pink;pink ;yes;instock;no;2;343;product-variant;6388
6392;amos-i6p.red;red ;yes;instock;no;44;343;product-variant;6388
6395;amos-i6p.black;black ;yes;instock;no;43;343;product-variant;6388
6353;;Сумка для фототехники Slinger;yes;instock;no;;;variable;
7613;slinger.orange;orange ;yes;instock;no;0;0;product-variant;6353
6354;;Сумка для фототехники xPlore-L;yes;instock;no;;;variable;
7623;xplore-l.grey;grey ;yes;instock;no;1;1199;product-variant;6354
6355;;Сумка для ноутбука Nicole;yes;instock;no;;;variable;
6716;nicole.black;black ;yes;instock;no;0;0;product-variant;6355
6356;nicole.brown;brown ;yes;instock;no;0;0;product-variant;6355
6357;;Сумка для ноутбука Kini-HM;yes;instock;no;;;variable;
6957;kini-hm.grey;grey ;yes;instock;no;0;0;product-variant;6357
6358;;Сумка для ноутбука Ascend1-SB;yes;instock;no;;;variable;
6708;ascend1-sb.grey;grey ;yes;instock;no;6;999;product-variant;6358
6359;;Сумка для ноутбука Desire-S;yes;instock;no;;;variable;
6935;desire-s.brown;brown ;yes;instock;no;0;0;product-variant;6359
6360;desire-s.blue;blue ;yes;instock;no;4;699;product-variant;6359
6361;desire-s.red;red ;yes;instock;no;2;699;product-variant;6359
6362;desire-s.black;black ;yes;instock;no;9;699;product-variant;6359
6363;;Сумка для планшета TabPak-S;yes;instock;no;;;variable;
6927;tabpak-s.navyblue;navyblue ;yes;instock;no;10;549;product-variant;6363
6364;;Сумка для планшета TabPak-L;yes;instock;no;;;variable;
6920;tabpak-l.navyblue;navyblue ;yes;instock;no;8;599;product-variant;6364
6365;teem-i6.black;Чехол  Teem-i6;yes;instock;no;44;299;variable;
10347;teem-i6.black;black ;yes;instock;no;44;299;product-variant;6365
10346;teem-i6.grey;grey ;yes;instock;no;0;0;product-variant;6365
6366;teem-i6.blue;blue ;yes;instock;no;88;299;product-variant;6365
6367;teem-i6.pink;pink ;yes;instock;no;4;299;product-variant;6365
6368;akton-i6.black;Чехол Akton-i6;yes;instock;no;6;199;variable;
10329;akton-i6.black;black ;yes;instock;no;6;199;product-variant;6368
6369;akton-i6.blue;blue ;yes;instock;no;50;199;product-variant;6368
6370;akton-i6.grey;grey ;yes;instock;no;13;199;product-variant;6368
6371;akton-i6.red;red ;yes;instock;no;13;199;product-variant;6368
6372;akton-i6.pink;pink ;yes;instock;no;49;199;product-variant;6368
6330;;Рюкзак для ноутбука Voyage;yes;instock;no;;;variable;
6833;voyage.black;black ;yes;instock;no;4;1199;product-variant;6330
6331;;Чехол для ноутбука Zipper-S;yes;instock;no;;;variable;
7083;zipper-s.black;black ;yes;instock;no;107;349;product-variant;6331
6333;;Рюкзак для ноутбука Avenger;yes;instock;no;;;variable;
6788;avenger.grey;grey ;yes;instock;no;4;1099;product-variant;6333
6334;;Сумка для ноутбука Azzure-L;yes;instock;no;;;variable;
7068;azzure-l.blue;blue ;yes;instock;no;23;999;product-variant;6334
6337;;Сумка для ноутбука Desire-LD;yes;instock;no;;;variable;
7045;desire-ld.black;black ;yes;instock;no;1;999;product-variant;6337
6338;desire-ld.blue;blue ;yes;instock;no;1;999;product-variant;6337
6339;desire-ld.purple;purple ;yes;instock;no;3;999;product-variant;6337
6340;doric.black;Рюкзак для ноутбука Doric;yes;instock;no;22;1299;variable;
6753;doric.black;black ;yes;instock;no;22;1299;product-variant;6340
6341;;Рюкзак для ноутбука Drake;yes;instock;no;;;variable;
6770;drake.black;blue ;yes;instock;no;14;1199;product-variant;6341
6342;drake.blue;black ;yes;instock;no;15;1199;product-variant;6341
6343;;Рюкзак для ноутбука Lucent-BP;yes;instock;no;;;variable;
6700;lucent-bp.grey;grey ;yes;instock;no;11;1199;product-variant;6343
6345;;Рюкзак для ноутбука trolleyPak-1;yes;instock;no;;;variable;
6858;trolleyPak-1.black;black ;yes;instock;no;14;1699;product-variant;6345
6346;;Рюкзак для ноутбука Urbaner-BP;yes;instock;no;;;variable;
6811;urbaner-bp.blue;blue ;yes;instock;no;20;1099;product-variant;6346
6347;;Cумка для планшета Lucent-SB;yes;instock;no;;;variable;
6976;lucent-sb.grey;grey ;yes;instock;no;37;799;product-variant;6347
6348;;Cумка для планшета tabSling;yes;instock;no;;;variable;
6969;tabsling.black;black ;yes;instock;no;18;699;product-variant;6348
6349;tabsling.red;red ;yes;instock;no;8;699;product-variant;6348
6350;tabsling.brown;brown ;yes;instock;no;9;699;product-variant;6348
6309;;Сумка для ноутбука/планшета Quire;yes;instock;no;;;variable;
7535;quire.black;black ;yes;instock;no;56;599;product-variant;6309
6310;quire.brown;brown ;yes;instock;no;75;599;product-variant;6309
6311;quire.maroon;MAROON ;yes;instock;no;32;599;product-variant;6309
6312;;Сумка для ноутбука Desire-L;yes;instock;no;;;variable;
7501;desire-l.brown;brown ;yes;instock;no;8;799;product-variant;6312
6313;desire-l.blue;blue ;yes;instock;no;6;799;product-variant;6312
6314;desire-l.red;red ;yes;instock;no;7;799;product-variant;6312
6315;desire-l.black;black ;yes;instock;no;11;799;product-variant;6312
