id,sku,Product name,Manage stock,Stock status,Backorders,Stock,Type,Parent ID
6233,ezhub.black,Аксессуар для ноутбука Ezhub,yes,instock,no,10,variable,
7272,ezhub.black,black ,yes,instock,no,10,product-variant,6233
6234,ihub.silver,Аксессуар для ноутбука iHub,yes,instock,no,20,variable,
7185,ihub.silver,silver ,yes,instock,no,20,product-variant,6234
6235,booster-c.champagne,Автомобильное зарядное устройство Booster-C,yes,instock,no,5,variable,
7200,booster-c.silver,silver ,yes,instock,no,5,product-variant,6235
7199,booster-c.champagne,champagne ,yes,instock,no,5,product-variant,6235
6236,trinix.black,Автомобильное зарядное устройство Trinix,yes,instock,no,10,variable,
7179,trinix.black,black ,yes,instock,no,10,product-variant,6236
6237,spark-2.black,Автомобильное зарядное устройство Spark-2,yes,instock,no,25,variable,
